"","X","OrganismList","Limb_width","Limb_length","ObserverList"
"1",1,"A. maculatum",12.5205484069884,12.3349743429571,"Joe Walsh"
"2",2,"P. ruber",10.942794055678,17.4497036170214,"Don Henley"
"3",3,"A. tigrinum",14.5216867229901,10.1557433232665,"Don Henley"
"4",4,"P. ruber",2.10055090300739,37.4086405988783,"Don Henley"
"5",5,"C. pyrrhogaster",1.75091904355213,32.6173655036837,"Glenn Frey"
"6",6,"C. pyrrhogaster",9.04969503171742,44.964014776051,"Joe Walsh"
"7",7,"A. mexicanum",6.42892042035237,16.6777008026838,"Glenn Frey"
"8",8,"A. maculatum",8.14543712325394,13.2402378506958,"Don Henley"
"9",9,"A. tigrinum",6.12607160722837,23.5752584971488,"Glenn Frey"
"10",10,"A. mexicanum",4.05103165376931,15.3183786943555,"Don Henley"
"11",11,"P. ruber",10.0003644800745,5.66184358671308,"Joe Walsh"
"12",12,"C. pyrrhogaster",11.5394100914709,18.7847224622965,"Joe Walsh"
"13",13,"C. pyrrhogaster",2.29146623006091,12.3547958303243,"Don Henley"
"14",14,"A. mexicanum",5.30231212778017,22.7169257123023,"Joe Walsh"
"15",15,"C. pyrrhogaster",14.8891232921742,40.6271033827215,"Glenn Frey"
"16",16,"A. mexicanum",2.66573398094624,39.8463284224272,"Don Henley"
"17",17,"A. mexicanum",8.35617929045111,26.2761586625129,"Joe Walsh"
"18",18,"A. mexicanum",1.57774696918204,32.7333316020668,"Don Henley"
"19",19,"A. tigrinum",14.144447451923,31.6407029796392,"Glenn Frey"
"20",20,"A. tigrinum",1.94035959383473,31.9676287192851,"Joe Walsh"
"21",21,"C. pyrrhogaster",1.41626690374687,12.958966344595,"Don Henley"
"22",22,"C. pyrrhogaster",2.8380351671949,34.2338629160076,"Glenn Frey"
"23",23,"A. tigrinum",12.4655080065131,28.7150677572936,"Joe Walsh"
"24",24,"A. mexicanum",13.5535014853813,11.9409565813839,"Glenn Frey"
"25",25,"A. tigrinum",2.34216366056353,7.88730732165277,"Don Henley"
"26",26,"A. tigrinum",10.7370477719232,5.64050020650029,"Glenn Frey"
"27",27,"A. maculatum",8.23492013290524,25.449063712731,"Don Henley"
"28",28,"A. mexicanum",7.20637557888404,9.59927120245993,"Joe Walsh"
"29",29,"A. tigrinum",4.02581829624251,14.99690964818,"Joe Walsh"
"30",30,"A. maculatum",5.49926007306203,5.07625861093402,"Glenn Frey"
"31",31,"A. mexicanum",13.4204286336899,33.243383904919,"Don Henley"
"32",32,"A. tigrinum",7.90996120730415,21.9848517421633,"Joe Walsh"
"33",33,"P. ruber",3.48640479892492,9.51237201690674,"Glenn Frey"
"34",34,"A. tigrinum",3.82500570546836,31.7050162795931,"Don Henley"
"35",35,"A. mexicanum",4.48427329398692,34.5559899229556,"Joe Walsh"
"36",36,"P. ruber",11.2113520344719,44.1375383920968,"Glenn Frey"
"37",37,"P. ruber",13.7203451986425,17.7534098550677,"Glenn Frey"
"38",38,"A. maculatum",8.00009789317846,25.7316101808101,"Glenn Frey"
"39",39,"A. mexicanum",10.494379804004,28.0864690989256,"Don Henley"
"40",40,"C. pyrrhogaster",7.34541165130213,34.0518649294972,"Joe Walsh"
"41",41,"P. ruber",2.3498838506639,17.0367863494903,"Glenn Frey"
"42",42,"A. mexicanum",1.69937571324408,12.7724579162896,"Joe Walsh"
"43",43,"P. ruber",13.1264520809054,21.8426954280585,"Glenn Frey"
"44",44,"A. tigrinum",1.37618763325736,14.8449551686645,"Joe Walsh"
"45",45,"A. tigrinum",4.08023365307599,17.0207571145147,"Glenn Frey"
"46",46,"A. maculatum",7.85722940973938,37.7162379492074,"Joe Walsh"
"47",47,"A. mexicanum",4.48808553442359,9.0759411919862,"Joe Walsh"
"48",48,"A. mexicanum",2.83690682705492,11.6807300038636,"Don Henley"
"49",49,"A. mexicanum",10.5030068000779,18.937808945775,"Don Henley"
"50",50,"C. pyrrhogaster",11.2056641480885,6.80658563971519,"Glenn Frey"
"51",51,"C. pyrrhogaster",1.35796698182821,29.4393649324775,"Glenn Frey"
"52",52,"A. maculatum",4.75244846520945,40.9856985509396,"Joe Walsh"
"53",53,"C. pyrrhogaster",3.03807298326865,30.9978047013283,"Joe Walsh"
"54",54,"A. maculatum",12.0591056104749,40.2210007794201,"Joe Walsh"
"55",55,"A. maculatum",7.34352993918583,13.4751021303236,"Don Henley"
"56",56,"A. tigrinum",7.31323676928878,10.6258806213737,"Don Henley"
"57",57,"C. pyrrhogaster",6.56663235649467,25.9950806573033,"Don Henley"
"58",58,"P. ruber",1.74170405277982,18.2958363741636,"Glenn Frey"
"59",59,"A. tigrinum",1.56295850174502,32.7631171792746,"Don Henley"
"60",60,"A. maculatum",4.46430916478857,20.6767334509641,"Glenn Frey"
"61",61,"A. maculatum",3.54395132279024,17.9711638763547,"Joe Walsh"
"62",62,"A. tigrinum",10.3367298156954,14.3715847842395,"Glenn Frey"
"63",63,"C. pyrrhogaster",9.1474969307892,10.4099589586258,"Joe Walsh"
"64",64,"A. tigrinum",14.9522125967778,35.7539170328528,"Joe Walsh"
"65",65,"C. pyrrhogaster",9.72255506133661,13.6511345207691,"Joe Walsh"
"66",66,"C. pyrrhogaster",11.7272009141743,23.9314268436283,"Joe Walsh"
"67",67,"A. tigrinum",13.2827007481828,43.4036325197667,"Don Henley"
"68",68,"A. maculatum",5.40135120600462,27.7955402992666,"Glenn Frey"
"69",69,"A. maculatum",1.63186811842024,32.3600772861391,"Glenn Frey"
"70",70,"A. mexicanum",14.7704954571091,43.0336146522313,"Joe Walsh"
"71",71,"C. pyrrhogaster",12.8960288604721,17.8459067456424,"Joe Walsh"
"72",72,"A. mexicanum",5.8268337068148,28.3571025542915,"Don Henley"
"73",73,"P. ruber",11.4613800100051,20.8175131306052,"Don Henley"
"74",74,"P. ruber",7.51212659291923,44.9416078161448,"Don Henley"
"75",75,"A. mexicanum",2.42388064973056,6.29147471860051,"Don Henley"
"76",76,"P. ruber",3.2085971175693,17.0189471822232,"Don Henley"
"77",77,"P. ruber",11.2052944214083,28.7176292203367,"Don Henley"
"78",78,"C. pyrrhogaster",9.00077107083052,8.07533415965736,"Don Henley"
"79",79,"C. pyrrhogaster",12.1183532238938,35.7511666044593,"Glenn Frey"
"80",80,"C. pyrrhogaster",9.26736321626231,34.9863470811397,"Joe Walsh"
"81",81,"A. maculatum",11.5900440048426,26.7626941110939,"Don Henley"
"82",82,"A. mexicanum",11.4864425184205,10.6092325039208,"Don Henley"
"83",83,"A. mexicanum",14.9203461408615,12.75027169846,"Glenn Frey"
"84",84,"A. mexicanum",9.29431940289214,38.5524725820869,"Don Henley"
"85",85,"P. ruber",10.4423422128893,10.050006210804,"Don Henley"
"86",86,"P. ruber",12.3265543798916,34.401236679405,"Glenn Frey"
"87",87,"C. pyrrhogaster",12.740482551977,17.924154130742,"Don Henley"
"88",88,"C. pyrrhogaster",6.48137008072808,27.977893743664,"Glenn Frey"
"89",89,"A. tigrinum",7.29529888415709,28.4782691020519,"Joe Walsh"
"90",90,"C. pyrrhogaster",3.91774567775428,38.5806641262025,"Don Henley"
"91",91,"A. tigrinum",10.7536811209284,15.3676642570645,"Glenn Frey"
"92",92,"C. pyrrhogaster",9.98157888604328,32.1838438510895,"Joe Walsh"
"93",93,"A. tigrinum",12.1460280022584,37.7839019335806,"Glenn Frey"
"94",94,"A. mexicanum",5.07924729818478,21.0308035742491,"Glenn Frey"
"95",95,"A. mexicanum",2.29928411450237,11.8976977653801,"Joe Walsh"
"96",96,"A. mexicanum",9.75808449275792,41.785900015384,"Glenn Frey"
"97",97,"C. pyrrhogaster",6.21863763593137,21.1732962261885,"Joe Walsh"
"98",98,"P. ruber",11.4669270510785,34.9040430504829,"Don Henley"
"99",99,"A. maculatum",5.0385430296883,38.8088238146156,"Don Henley"
"100",100,"C. pyrrhogaster",10.3790475940332,40.6295668892562,"Glenn Frey"
