"","OrganismList","Limb_width","Limb_length","ObserverList"
"1","Ambystoma maculatum",12.5205484069884,12.3349743429571,"Joe Walsh"
"2","Pseudotriton ruber",10.942794055678,17.4497036170214,"Don Henley"
"3","Ambystoma tigrinum",14.5216867229901,10.1557433232665,"Don Henley"
"4","Pseudotriton ruber",2.10055090300739,37.4086405988783,"Don Henley"
"5","Cynops pyrrhogaster",1.75091904355213,32.6173655036837,"Glenn Frey"
"6","Cynops pyrrhogaster",9.04969503171742,44.964014776051,"Joe Walsh"
"7","Ambystoma mexicanum",6.42892042035237,16.6777008026838,"Glenn Frey"
"8","Ambystoma maculatum",8.14543712325394,13.2402378506958,"Don Henley"
"9","Ambystoma tigrinum",6.12607160722837,23.5752584971488,"Glenn Frey"
"10","Ambystoma mexicanum",4.05103165376931,15.3183786943555,"Don Henley"
"11","Pseudotriton ruber",10.0003644800745,5.66184358671308,"Joe Walsh"
"12","Cynops pyrrhogaster",11.5394100914709,18.7847224622965,"Joe Walsh"
"13","Cynops pyrrhogaster",2.29146623006091,12.3547958303243,"Don Henley"
"14","Ambystoma mexicanum",5.30231212778017,22.7169257123023,"Joe Walsh"
"15","Cynops pyrrhogaster",14.8891232921742,40.6271033827215,"Glenn Frey"
"16","Ambystoma mexicanum",2.66573398094624,39.8463284224272,"Don Henley"
"17","Ambystoma mexicanum",8.35617929045111,26.2761586625129,"Joe Walsh"
"18","Ambystoma mexicanum",1.57774696918204,32.7333316020668,"Don Henley"
"19","Ambystoma tigrinum",14.144447451923,31.6407029796392,"Glenn Frey"
"20","Ambystoma tigrinum",1.94035959383473,31.9676287192851,"Joe Walsh"
"21","Cynops pyrrhogaster",1.41626690374687,12.958966344595,"Don Henley"
"22","Cynops pyrrhogaster",2.8380351671949,34.2338629160076,"Glenn Frey"
"23","Ambystoma tigrinum",12.4655080065131,28.7150677572936,"Joe Walsh"
"24","Ambystoma mexicanum",13.5535014853813,11.9409565813839,"Glenn Frey"
"25","Ambystoma tigrinum",2.34216366056353,7.88730732165277,"Don Henley"
"26","Ambystoma tigrinum",10.7370477719232,5.64050020650029,"Glenn Frey"
"27","Ambystoma maculatum",8.23492013290524,25.449063712731,"Don Henley"
"28","Ambystoma mexicanum",7.20637557888404,9.59927120245993,"Joe Walsh"
"29","Ambystoma tigrinum",4.02581829624251,14.99690964818,"Joe Walsh"
"30","Ambystoma maculatum",5.49926007306203,5.07625861093402,"Glenn Frey"
"31","Ambystoma mexicanum",13.4204286336899,33.243383904919,"Don Henley"
"32","Ambystoma tigrinum",7.90996120730415,21.9848517421633,"Joe Walsh"
"33","Pseudotriton ruber",3.48640479892492,9.51237201690674,"Glenn Frey"
"34","Ambystoma tigrinum",3.82500570546836,31.7050162795931,"Don Henley"
"35","Ambystoma mexicanum",4.48427329398692,34.5559899229556,"Joe Walsh"
"36","Pseudotriton ruber",11.2113520344719,44.1375383920968,"Glenn Frey"
"37","Pseudotriton ruber",13.7203451986425,17.7534098550677,"Glenn Frey"
"38","Ambystoma maculatum",8.00009789317846,25.7316101808101,"Glenn Frey"
